DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
PENNISD,PENNINGTON COUNTY JAIL (SOUTH DAKOTA),RAPID CITY,SD,SPM,570.52,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/25/16
PHELPNE,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,650.70,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,9/1/16
PIC,PORT ISABEL,LOS FRESNOS,TX,SNA,288.73,Regular,Meets Standard,Meets Standard,2/2/17,Regular,Meets Standard,2/4/16
PIKCOPA,PIKE COUNTY CORRECTIONAL FACILITY,LORDS VALLEY,PA,PHI,131.82,Regular,Meets Standard,Meets Standard,1/6/17,Regular,Meets Standard,1/7/16
PINELFL,PINELLAS COUNTY JAIL,CLEARWATER,FL,MIA,276.14,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/15/16
PINEPLA,PINE PRAIRIE CORRECTIONAL CENTER,PINE PRAIRIE,LA,NOL,149.80,Regular,Meets Standard,Meets Standard,4/27/17,Regular,Meets Standard,4/21/16
PLATTMO,PLATTE COUNTY DETENTION CENTER,PLATTE CITY,MO,CHI,410.12,Regular,Acceptable,Acceptable,12/15/16,Regular,Special Review - Pre-Occupancy,8/25/16
PLATTWY,PLATTE COUNTY JAIL,WHEATLAND,WY,DEN,184.81,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/11/14
PLYMOMA,PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA,BOS,58.00,Regular,Acceptable,Acceptable,6/22/17,Regular,Acceptable,6/16/16
POLKCTX,POLK COUNTY ADULT DETENTION FACILITY,LIVINGSTON,TX,HOU,70.09,Regular,Acceptable,Acceptable,1/6/17,Regular,Acceptable,1/7/16
